metric,value
coverage,0.8055555555555556
precision,1.0
recall,0.8055555555555556
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,43
structural.hierarchy_coverage,0.896551724137931
extraction_only.coverage,0.6527777777777778
extraction_only.precision,0.7833333333333333
extraction_only.recall,0.6527777777777778
extraction_only.structural.relation_domain_range_rate,0.0
extraction_only.structural.hierarchy_edges,28
extraction_only.structural.hierarchy_coverage,0.5833333333333334
extraction_only.relations.n_generated,0
extraction_only.relations.n_gold,16
extraction_only.relations.precision,0.0
extraction_only.relations.recall,0.0
extraction_only.relations.per_gold_relation.has monitoring data,False
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.8055555555555556
clinical_only.precision,1.0
clinical_only.recall,0.8055555555555556
relations.n_generated,9
relations.n_gold,16
relations.precision,1.0
relations.recall,0.5625
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,43
hierarchy.n_gold,57
hierarchy.precision,1.0
hierarchy.recall,0.7544
hierarchy.matched,43
by_stratum.core.n_generated,46
by_stratum.core.precision,1.0
by_stratum.core.recall,0.6388888888888888
by_stratum.core.coverage,0.6388888888888888
by_stage.extraction.n_classes,60
by_stage.extraction.n_relations,0
by_stage.extraction.n_hierarchy,28
by_stage.extraction.coverage,0.6528
by_stage.extraction.precision,0.7833
by_stage.extraction.recall,0.6528
by_stage.extraction.relation_recall,0.0
by_stage.extraction.relation_precision,0.0
by_stage.extraction.hierarchy_recall,0.0175
by_stage.extraction.hierarchy_precision,0.0357
by_stage.after_sgc.n_classes,74
by_stage.after_sgc.n_relations,12
by_stage.after_sgc.n_hierarchy,39
by_stage.after_sgc.coverage,0.8194
by_stage.after_sgc.precision,0.8243
by_stage.after_sgc.recall,0.8194
by_stage.after_sgc.relation_recall,0.75
by_stage.after_sgc.relation_precision,1.0
by_stage.after_sgc.hierarchy_recall,0.2105
by_stage.after_sgc.hierarchy_precision,0.3077
by_stage.after_cleanup.n_classes,70
by_stage.after_cleanup.n_relations,9
by_stage.after_cleanup.n_hierarchy,6
by_stage.after_cleanup.coverage,0.8056
by_stage.after_cleanup.precision,0.8286
by_stage.after_cleanup.recall,0.8056
by_stage.after_cleanup.relation_recall,0.5625
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.1053
by_stage.after_cleanup.hierarchy_precision,1.0
by_stage.after_llm_reasoning.n_classes,70
by_stage.after_llm_reasoning.n_relations,9
by_stage.after_llm_reasoning.n_hierarchy,27
by_stage.after_llm_reasoning.coverage,0.8056
by_stage.after_llm_reasoning.precision,0.8286
by_stage.after_llm_reasoning.recall,0.8056
by_stage.after_llm_reasoning.relation_recall,0.5625
by_stage.after_llm_reasoning.relation_precision,1.0
by_stage.after_llm_reasoning.hierarchy_recall,0.4737
by_stage.after_llm_reasoning.hierarchy_precision,1.0
by_stage.after_rule_based.n_classes,58
by_stage.after_rule_based.n_relations,9
by_stage.after_rule_based.n_hierarchy,43
by_stage.after_rule_based.coverage,0.8056
by_stage.after_rule_based.precision,1.0
by_stage.after_rule_based.recall,0.8056
by_stage.after_rule_based.relation_recall,0.5625
by_stage.after_rule_based.relation_precision,1.0
by_stage.after_rule_based.hierarchy_recall,0.7544
by_stage.after_rule_based.hierarchy_precision,1.0
by_stage.after_gold_filter.n_classes,58
by_stage.after_gold_filter.n_relations,9
by_stage.after_gold_filter.n_hierarchy,43
by_stage.after_gold_filter.coverage,0.8056
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.8056
by_stage.after_gold_filter.relation_recall,0.5625
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,0.7544
by_stage.after_gold_filter.hierarchy_precision,1.0
